order_id,customer_id,product_id,order_timestamp,quantity,unit_price,discount_pct,status,updated_at
O0000001,C00213,P0321,2026-05-07T01:22:00+00:00,5,86572.35,0,SHIPPED,2026-05-07T04:22:00+00:00
O0000002,C02007,P0523,2026-08-15T07:31:00+00:00,6,8062.51,0.1,CANCELLED,2026-08-16T21:31:00+00:00
O0000003,C01918,P0506,2026-07-20T23:52:00+00:00,7,24400.44,0,CANCELLED,2026-07-23T23:52:00+00:00
O0000004,C01190,P0478,2025-11-20T08:28:00+00:00,1,13204.83,0.15,CANCELLED,2025-11-20T09:28:00+00:00
O0000005,C02247,P0239,2026-06-12T12:34:00+00:00,8,67525.62,0,PAID,2026-06-15T02:34:00+00:00
O0000006,C00441,P0360,2025-12-17T02:16:00+00:00,6,89523.6,0.1,PENDING,2025-12-18T20:16:00+00:00
O0000007,C01281,P0266,2025-06-27T18:29:00+00:00,2,35205.27,0,CANCELLED,2025-06-27T18:29:00+00:00
O0000008,C00712,P0535,2025-10-31T16:10:00+00:00,8,24657.56,0.1,DELIVERED,2025-11-01T03:10:00+00:00
O0000009,C02058,P0584,2025-03-26T07:20:00+00:00,4,261.24,0.1,PACKED,2025-03-28T14:20:00+00:00
O0000010,C00388,P0258,2025-03-08T11:37:00+00:00,8,57049.13,0,PACKED,2025-03-09T00:37:00+00:00
O0000011,C00647,P0129,2025-11-19T08:43:00+00:00,8,77576.92,0.1,PAID,2025-11-21T19:43:00+00:00
O0000012,C01859,P0524,2025-04-08T10:43:00+00:00,6,71131.29,0,PAID,2025-04-11T08:43:00+00:00
O0000013,C01329,P0522,2025-12-11T23:05:00+00:00,7,26730.04,0,CANCELLED,2025-12-12T18:05:00+00:00
O0000014,C00876,P0281,2026-05-17T09:14:00+00:00,2,42391.82,0.1,PENDING,2026-05-18T02:14:00+00:00
O0000015,C02977,P0430,2025-04-14T10:05:00+00:00,6,38494.55,0,SHIPPED,2025-04-16T09:05:00+00:00
O0000016,C02888,P0333,2026-03-20T03:52:00+00:00,8,23586.84,0,CANCELLED,2026-03-22T19:52:00+00:00
O0000017,C00304,P0313,2025-06-23T13:48:00+00:00,5,4389.38,0.15,SHIPPED,2025-06-26T10:48:00+00:00
O0000018,C01466,P0364,2025-11-15T02:41:00+00:00,6,51326.98,0,PACKED,2025-11-15T22:41:00+00:00
O0000019,C01127,P0258,2025-12-11T15:32:00+00:00,1,57049.13,0.15,PAID,2025-12-13T03:32:00+00:00
O0000020,C02658,P0462,2026-04-28T16:08:00+00:00,6,29050.22,0,CANCELLED,2026-05-01T02:08:00+00:00
O0000021,C02528,P0123,2025-09-27T21:47:00+00:00,3,70265.32,0.15,PACKED,2025-09-29T21:47:00+00:00
O0000022,C02745,P0322,2026-04-25T18:02:00+00:00,3,43814.63,0.15,PAID,2026-04-27T15:02:00+00:00
O0000023,C00713,P0262,2025-04-22T07:19:00+00:00,4,43872.24,0,CANCELLED,2025-04-25T06:19:00+00:00
O0000024,C02520,P0057,2026-01-08T16:22:00+00:00,4,3007.46,0,SHIPPED,2026-01-10T02:22:00+00:00
O0000025,C00625,P0371,2026-07-04T09:14:00+00:00,7,2126.94,0.05,PAID,2026-07-05T17:14:00+00:00
O0000026,C02565,P0588,2025-11-06T11:32:00+00:00,7,73940.35,0,PENDING,2025-11-08T10:32:00+00:00
O0000027,C01907,P0184,2026-07-10T04:19:00+00:00,8,70782.8,0.15,DELIVERED,2026-07-12T19:19:00+00:00
O0000028,C01492,P0272,2025-01-07T02:47:00+00:00,7,45374.87,0.15,PAID,2025-01-08T05:47:00+00:00
O0000029,C00170,P0410,2026-08-18T00:02:00+00:00,1,26412.35,0.1,PENDING,2026-08-18T11:02:00+00:00
O0000030,C00877,P0245,2025-08-28T20:13:00+00:00,4,34088.86,0.1,CANCELLED,2025-08-29T06:13:00+00:00
O0000031,C01896,P0332,2026-04-16T03:33:00+00:00,1,20083.93,0.1,CANCELLED,2026-04-16T15:33:00+00:00
O0000032,C02455,P0310,2025-12-06T05:21:00+00:00,5,35928.91,0.05,PAID,2025-12-07T17:21:00+00:00
O0000033,C01372,P0319,2026-06-20T05:43:00+00:00,7,89212.6,0,PENDING,2026-06-20T08:43:00+00:00
O0000034,C00993,P0544,2025-05-07T14:12:00+00:00,8,87720.53,0,DELIVERED,2025-05-10T07:12:00+00:00
O0000035,C02868,P0340,2026-03-26T19:37:00+00:00,3,60718.41,0.15,PAID,2026-03-28T16:37:00+00:00
O0000036,C01773,P0344,2026-05-28T10:59:00+00:00,5,2785.93,0,PAID,2026-05-29T17:59:00+00:00
O0000037,C02150,P0067,2026-02-12T09:05:00+00:00,3,68969.66,0,PAID,2026-02-15T03:05:00+00:00
O0000038,C00301,P0402,2025-06-09T01:25:00+00:00,6,11134.18,0.05,PENDING,2025-06-09T05:25:00+00:00
O0000039,C00913,P0343,2025-09-07T08:51:00+00:00,3,26854.39,0,PACKED,2025-09-09T10:51:00+00:00
O0000040,C02025,P0510,2026-01-29T11:29:00+00:00,8,46042.76,0,DELIVERED,2026-01-31T14:29:00+00:00
O0000041,C02298,P0536,2026-07-03T22:07:00+00:00,8,24732.77,0.1,SHIPPED,2026-07-04T01:07:00+00:00
O0000042,C00647,P0088,2026-03-12T11:42:00+00:00,2,55185.22,0.05,PACKED,2026-03-13T11:42:00+00:00
O0000043,C00074,P0204,2026-06-03T04:55:00+00:00,7,71742.39,0,CANCELLED,2026-06-05T14:55:00+00:00
O0000044,C01169,P0448,2025-10-12T10:24:00+00:00,5,12210.05,0,CANCELLED,2025-10-12T17:24:00+00:00
O0000045,C01540,P0398,2026-08-13T10:15:00+00:00,2,62692.66,0.15,PAID,2026-08-14T08:15:00+00:00
O0000046,C01978,P0509,2025-09-17T21:52:00+00:00,8,50305.42,0.15,PACKED,2025-09-20T17:52:00+00:00
O0000047,C01519,P0119,2025-07-15T03:17:00+00:00,2,52861.96,0,PACKED,2025-07-16T03:17:00+00:00
O0000048,C01288,P0228,2025-01-13T22:38:00+00:00,6,80003.14,0.15,CANCELLED,2025-01-15T21:38:00+00:00
O0000049,C01120,P0190,2025-03-18T22:43:00+00:00,7,27131.31,0,PENDING,2025-03-21T19:43:00+00:00
O0000050,C01141,P0429,2025-04-22T17:20:00+00:00,6,160.67,0,DELIVERED,2025-04-25T11:20:00+00:00
O0000051,C00181,P0064,2025-04-19T11:46:00+00:00,2,47232.89,0,PENDING,2025-04-21T20:46:00+00:00
O0000052,C01011,P0018,2026-01-05T22:37:00+00:00,3,39315.77,0,PAID,2026-01-07T01:37:00+00:00
O0000053,C00866,P0141,2025-10-06T19:26:00+00:00,8,8020.56,0,CANCELLED,2025-10-07T03:26:00+00:00
O0000054,C01068,P0191,2026-06-27T01:59:00+00:00,8,51738.56,0.15,PENDING,2026-06-29T14:59:00+00:00
O0000055,C02409,P0545,2026-04-08T21:20:00+00:00,8,38240.67,0,PENDING,2026-04-10T17:20:00+00:00
O0000056,C00601,P0261,2025-04-06T15:37:00+00:00,3,80174.88,0,PENDING,2025-04-09T04:37:00+00:00
O0000057,C01499,P0595,2025-06-16T07:27:00+00:00,4,38494.77,0,PENDING,2025-06-18T13:27:00+00:00
O0000058,C02589,P0305,2026-03-01T04:10:00+00:00,2,25494.69,0.15,PENDING,2026-03-02T03:10:00+00:00
O0000059,C01736,P0545,2025-03-30T07:28:00+00:00,1,38240.67,0.05,SHIPPED,2025-04-01T10:28:00+00:00
O0000060,C01696,P0007,2026-05-10T01:02:00+00:00,1,50875.77,0.1,SHIPPED,2026-05-10T08:02:00+00:00
O0000061,C01154,P0029,2026-07-11T04:54:00+00:00,2,16882.32,0.1,DELIVERED,2026-07-11T19:54:00+00:00
O0000062,C01909,P0380,2025-12-24T17:03:00+00:00,2,40150.81,0,PACKED,2025-12-27T06:03:00+00:00
O0000063,C00196,P0382,2025-02-05T17:35:00+00:00,3,61369.12,0.1,PENDING,2025-02-07T22:35:00+00:00
O0000064,C01191,P0161,2025-05-01T07:24:00+00:00,3,24664.23,0.15,DELIVERED,2025-05-02T14:24:00+00:00
O0000065,C00125,P0245,2026-04-21T06:32:00+00:00,8,34088.86,0.1,CANCELLED,2026-04-24T04:32:00+00:00
O0000066,C02639,P0349,2025-01-17T07:21:00+00:00,3,3256.87,0,PENDING,2025-01-17T21:21:00+00:00
O0000067,C00854,P0236,2025-12-15T14:24:00+00:00,8,15010.49,0.05,PENDING,2025-12-17T21:24:00+00:00
O0000068,C01841,P0269,2025-11-08T13:39:00+00:00,5,17075.89,0.15,DELIVERED,2025-11-09T07:39:00+00:00
O0000069,C02044,P0039,2026-01-03T19:37:00+00:00,1,54778.38,0.05,PAID,2026-01-06T18:37:00+00:00
O0000070,C00331,P0108,2026-06-19T13:47:00+00:00,2,71865.45,0.05,CANCELLED,2026-06-19T18:47:00+00:00
O0000071,C02927,P0441,2025-11-15T20:05:00+00:00,4,49223.61,0,PACKED,2025-11-18T09:05:00+00:00
O0000072,C01064,P0026,2025-09-03T15:29:00+00:00,7,30954.76,0,CANCELLED,2025-09-04T20:29:00+00:00
O0000073,C01080,P0551,2025-02-03T11:09:00+00:00,7,64688.53,0,PAID,2025-02-03T17:09:00+00:00
O0000074,C02458,P0216,2025-01-26T15:28:00+00:00,5,82079.9,0,PACKED,2025-01-28T01:28:00+00:00
O0000075,C01739,P0276,2026-02-26T11:43:00+00:00,2,53858.21,0,DELIVERED,2026-02-27T12:43:00+00:00
O0000076,C00109,P0056,2026-01-08T13:54:00+00:00,1,14507.56,0,PENDING,2026-01-10T16:54:00+00:00
O0000077,C01803,P0340,2025-11-02T18:21:00+00:00,4,60718.41,0,PENDING,2025-11-04T13:21:00+00:00
O0000078,C00517,P0013,2025-03-02T20:15:00+00:00,5,4808.32,0.1,SHIPPED,2025-03-05T15:15:00+00:00
O0000079,C00123,P0311,2026-08-27T03:09:00+00:00,6,59966.53,0.1,PACKED,2026-08-30T02:09:00+00:00
O0000080,C00168,P0263,2025-06-28T03:35:00+00:00,7,71306.66,0.1,PENDING,2025-06-28T09:35:00+00:00
O0000081,C01377,P0077,2025-01-05T04:31:00+00:00,3,19310.99,0,PACKED,2025-01-07T09:31:00+00:00
O0000082,C01337,P0061,2026-07-27T17:48:00+00:00,2,50431.31,0.15,DELIVERED,2026-07-30T02:48:00+00:00
O0000083,C00189,P0088,2025-08-14T09:39:00+00:00,8,55185.22,0.1,DELIVERED,2025-08-17T07:39:00+00:00
O0000084,C02395,P0050,2025-05-20T14:22:00+00:00,4,705.45,0.15,SHIPPED,2025-05-21T15:22:00+00:00
O0000085,C02159,P0281,2025-03-21T02:57:00+00:00,3,42391.82,0,CANCELLED,2025-03-24T02:57:00+00:00
O0000086,C02759,P0186,2025-08-24T13:02:00+00:00,5,19707.94,0.1,SHIPPED,2025-08-25T05:02:00+00:00
O0000087,C00079,P0331,2026-03-08T06:02:00+00:00,1,58553.68,0,SHIPPED,2026-03-08T18:02:00+00:00
O0000088,C02265,P0383,2025-06-19T05:03:00+00:00,3,79854.28,0,PAID,2025-06-19T19:03:00+00:00
O0000089,C01232,P0454,2025-09-11T05:15:00+00:00,4,68631.05,0,CANCELLED,2025-09-13T15:15:00+00:00
O0000090,C02719,P0334,2026-03-12T15:09:00+00:00,8,86548.85,0,DELIVERED,2026-03-15T09:09:00+00:00
O0000091,C00828,P0480,2026-04-12T03:46:00+00:00,2,1541.62,0,PAID,2026-04-13T14:46:00+00:00
O0000092,C01583,P0195,2026-08-12T06:40:00+00:00,7,73001.33,0,SHIPPED,2026-08-15T05:40:00+00:00
O0000093,C01934,P0590,2025-07-30T14:37:00+00:00,5,4109.75,0.15,DELIVERED,2025-08-01T10:37:00+00:00
O0000094,C00048,P0307,2026-09-04T16:28:00+00:00,8,74775.57,0,PACKED,2026-09-05T06:28:00+00:00
O0000095,C01174,P0207,2026-06-19T21:18:00+00:00,6,24262.67,0,SHIPPED,2026-06-22T01:18:00+00:00
O0000096,C01967,P0504,2026-08-07T16:26:00+00:00,7,34959.35,0,PACKED,2026-08-08T16:26:00+00:00
O0000097,C02833,P0082,2025-01-20T10:17:00+00:00,7,39513.33,0,DELIVERED,2025-01-21T23:17:00+00:00
O0000098,C02281,P0120,2026-08-12T20:34:00+00:00,7,12754.97,0,CANCELLED,2026-08-15T10:34:00+00:00
O0000099,C01974,P0214,2025-09-13T13:22:00+00:00,6,25806.6,0,PENDING,2025-09-15T14:22:00+00:00
O0000100,C02686,P0308,2025-03-14T15:59:00+00:00,2,11197.74,0.15,CANCELLED,2025-03-15T02:59:00+00:00
O0000101,C00178,P0291,2025-07-19T12:16:00+00:00,6,25096.1,0,PACKED,2025-07-21T04:16:00+00:00
O0000102,C02353,P0008,2025-06-14T22:50:00+00:00,7,51014.7,0,DELIVERED,2025-06-15T13:50:00+00:00
O0000103,C01497,P0550,2025-03-29T04:18:00+00:00,3,7942.45,0,PENDING,2025-03-31T01:18:00+00:00
O0000104,C00947,P0003,2026-05-24T01:11:00+00:00,5,19688.11,0,PAID,2026-05-24T06:11:00+00:00
O0000105,C02870,P0571,2025-06-26T03:11:00+00:00,2,43789.31,0,PENDING,2025-06-26T15:11:00+00:00
O0000106,C00425,P0081,2026-08-22T14:42:00+00:00,2,12478.98,0.15,CANCELLED,2026-08-23T08:42:00+00:00
O0000107,C02706,P0522,2025-06-18T06:31:00+00:00,4,26730.04,0.05,DELIVERED,2025-06-19T00:31:00+00:00
O0000108,C02968,P0084,2026-05-23T03:30:00+00:00,4,81907.0,0.1,PENDING,2026-05-24T13:30:00+00:00
O0000109,C01519,P0269,2025-09-25T12:17:00+00:00,8,17075.89,0,PENDING,2025-09-25T22:17:00+00:00
